,city,country,commitment_type,commitment,ghg_subtype,baseline_year,baseline_year_emissions,target_year,target_year_emissions,percent_reduction,emissions_reduction_by_target_year
524,"Nelson Mandela Bay Metropolitan Municipality, South Africa",South Africa,Renewable energy target,15% Energy efficiency improvement by 2020The Nelson Mandela Bay Metropolitan Municipality committed to increase its energy efficiency in Primary energy and Community energy consumption by 15% by 2020 compared to 2013 levels. Primary energy energy consumption: 3510929. 55 Mwh15% Energy efficiency improvement by 2020The Nelson Mandela Bay Metropolitan Municipality committed to increase its energy efficiency in Primary energy and Community energy consumption by 15% by 2020 compared to 2013 levels. Primary energy energy consumption: 3510929. 55 Mwh15% Energy efficiency improvement by 2020The Nelson Mandela Bay Metropolitan Municipality committed to increase its energy efficiency in Primary energy and Community energy consumption by 15% by 2020 compared to 2013 levels. Primary energy energy consumption: 3510929. 55 Mwh,,,,,,,
525,"Tshwane Metropolitan Municipality, South Africa",South Africa,GHG emission reduction target, The Tshwane Metropolitan Municipality has committed to reduce its Community emissions by 50% of per capita/ per GDP emissions by 2018 compared to 2013 emission level.,Community,2013,,2018,,50.0,
526,"eThekwini Metropolitan Municipality, South Africa",South Africa,GHG emission reduction target," The eThekwini Metropolitan Municipality has committed to reduce its Community emissions by 27% by 2020 compared to Baseline scenario (BAU) reduction target emission level. The target is going to be reached by activities in Stationary energy, Industrial processes and product use (IPPU), Transport, Agriculture, forest and other land use (AFOLU) and Waste management sectors.",Community,2006,22531967.0,2020,22531967.0,,6083631.0
527,"eThekwini Metropolitan Municipality, South Africa",South Africa,GHG emission reduction target, The eThekwini Metropolitan Municipality has committed to reduce its Local Government emissions by 33% by 2030 compared to 2005 emission level.,Local Government,2005,1551420.0,2030,1039451.0,,511968.0
528,"eThekwini Metropolitan Municipality, South Africa",South Africa,Renewable energy target,"The eThekwini Metropolitan Municipality committed to increase its share of renewable energy in final energy mix in Community by 40% by 2030Current share of renewable energy in final energy mix: 10. 0% The target is going to be reached by activities in Electricity, Heating & cooling, Transport and Industry sectors. The eThekwini Metropolitan Municipality committed to increase its Share of renewable energy in primary energy mix in Community by 40% by 2030Current Share of renewable energy in primary energy mix: 10. 0% The target is going to be reached by activities in Electricity and Heating & cooling sectors.  The eThekwini Metropolitan Municipality committed to increase its Share of renewable energy in primary energy mix in Local Government by 40% by 2030Current Share of renewable energy in primary energy mix: 1. 0% 2019The target is going to be reached by activities in Electricity, Heating & cooling and Industry sector.",,,,,,,
529,"eThekwini Metropolitan Municipality, South Africa",South Africa,Energy efficiency target,"0% Energy efficiency improvement by 2015The eThekwini Metropolitan Municipality committed to increase its energy efficiency in Final energy and Local Government energy consumption by 0% by 2015 compared to 2005 levels. This target will be achieved in Electricity, Heating & cooling and Transport sectors33% Energy efficiency improvement by 2020The eThekwini Metropolitan Municipality committed to increase its energy efficiency in Final energy and Local Government energy consumption by 33% by 2020 compared to 2013 levels. Final energy energy consumption: 4558533. 0 MwhThis target will be achieved in Electricity, Transport and Heating & cooling sectors",,,,,,,
530,"Municipality of Amurrio, Spain",Spain,GHG emission reduction target," The Municipality of Amurrio has committed to reduce its Community emissions by 20% by 2020 compared to 2006 emission level. The target is going to be reached by activities in Stationary energy, Transport and Waste management sectors.",Community,2006,38555.0,2020,30844.0,,7711.0
531,"Municipality of Amurrio, Spain",Spain,Renewable energy target,"The Municipality of Amurrio committed to increase its share of renewable energy in final energy mix in Community by 20% by 2020The target is going to be reached by activities in Electricity, Heating & cooling and Transport sector.  The Municipality of Amurrio committed to increase its share of renewable energy in final energy mix in Local Government by 20% by 2020The target is going to be reached by activities in Electricity, Heating & cooling and Transport sector.",,,,,,,
532,"Municipality of Amurrio, Spain",Spain,Energy efficiency target,"0% Energy efficiency improvement by 2020The Municipality of Amurrio committed to increase its energy efficiency in Final energy and Community energy consumption by 0% by 2020 compared to 2006 levels. This target will be achieved in Electricity, Heating & cooling and Transport sectors 0% Energy efficiency improvement by 2020The Municipality of Amurrio committed to increase its energy efficiency in Final energy and Local Government energy consumption by 0% by 2020 compared to 2006 levels. This target will be achieved in Electricity, Heating & cooling and Transport sectors",,,,,,,
533,"Municipality of Areatza, Spain",Spain,GHG emission reduction target," The Municipality of Areatza has committed to reduce its Community emissions by 20% by 2020 compared to 2008 emission level. The target is going to be reached by activities in Stationary energy, Transport and Waste management sectors.",Community,2008,4936.0,2020,3948.0,,987.0
534,"Municipality of Areatza, Spain",Spain,Renewable energy target,"The Municipality of Areatza committed to increase its share of renewable energy in final energy mix in Community by 20% by 2020The target is going to be reached by activities in Electricity, Heating & cooling and Transport sector.  The Municipality of Areatza committed to increase its share of renewable energy in final energy mix in Local Government by 20% by 2020The target is going to be reached by activities in Electricity, Heating & cooling and Transport sector.",,,,,,,
535,"Municipality of Areatza, Spain",Spain,Energy efficiency target,"0% Energy efficiency improvement by 2020The Municipality of Areatza committed to increase its energy efficiency in Final energy and Community energy consumption by 0% by 2020 compared to 2008 levels. This target will be achieved in Electricity, Heating & cooling and Transport sectors 0% Energy efficiency improvement by 2020The Municipality of Areatza committed to increase its energy efficiency in Final energy and Local Government energy consumption by 0% by 2020 compared to 2008 levels. This target will be achieved in Electricity, Heating & cooling and Transport sectors",,,,,,,
536,"Municipality of Balmaseda, Spain",Spain,GHG emission reduction target," The Municipality of Balmaseda has committed to reduce its Community emissions by 29% by 2020 compared to 2007 emission level. The target is going to be reached by activities in Stationary energy, Transport and Waste management sectors.",Community,2007,26263.0,2020,18646.0,,7616.0
537,"Municipality of Balmaseda, Spain",Spain,Renewable energy target,"The Municipality of Balmaseda committed to increase its share of renewable energy in final energy mix in Community by 29% by 2020The target is going to be reached by activities in Electricity, Heating & cooling and Transport sector.  The Municipality of Balmaseda committed to increase its share of renewable energy in final energy mix in Local Government by 29% by 2020The target is going to be reached by activities in Electricity, Heating & cooling and Transport sector.",,,,,,,
538,"Municipality of Balmaseda, Spain",Spain,Energy efficiency target,"0% Energy efficiency improvement by 2020The Municipality of Balmaseda committed to increase its energy efficiency in Final energy and Community energy consumption by 0% by 2020 compared to 2007 levels. This target will be achieved in Electricity, Heating & cooling and Transport sectors 0% Energy efficiency improvement by 2020The Municipality of Balmaseda committed to increase its energy efficiency in Final energy and Local Government energy consumption by 0% by 2020 compared to 2007 levels. This target will be achieved in Electricity, Heating & cooling and Transport sectors",,,,,,,
