Official Name,City,Country,Constituency,Phone,Fax,Email,Coordinator
International Solid Waste Association (ISWA),Vienna,Austria,Constituency - Environmental,(43-1) 253-6001,(43-2) 536-0099,iswa@iswa.org,Mr. Jose Ignacio Uribe-Echevarria
International Trade Union Confederation (ITUC),Brussels,Belgium,Constituency - Trade Unions,(32-2) 224-0211,(32-2) 201-5815,info@ituc-csi.org,Mr. Bert De Wel
International Union of Architects (UIA),Paris,France,Constituency - Trade Unions,(33-1) 4524-3688,,uia@uia-architectes.org,Ms. Sonia Cela
International Union of Forest Research Organizations (IUFRO),Vienna,Austria,Constituency - Research and independent,(43-1) 8770-1510,(43-1) 8-7701-5150,office@iufro.org,Mr. Alexander Buck
International Union of Railways (UIC),Paris,France,Constituency - Business and Industry,(33-1) 4449-2020,(33-1) 4449-2029,margot@uic.org,Mr. Vincent VU
International Volunteering Center for Development Cooperation (CEVI),Udine,Italy,Constituency - Environmental,(39-432) 54-8886,(49-432) 48-6929,info@cevi.coop,Mr. Marco Iob
International Water Association (IWA),London,United Kingdom of Great Britain and Northern Ireland,Constituency - Environmental,+44 207 654 5500,+44 207 654 5555,water@iwahq.org,Ms. Brenda Reyes
International Work Group for Indigenous Affairs (IWGIA),Copenhagen,Denmark,Constituency - Environmental,(45) 3527-0500,(45) 3527-0507,iwgia@iwgia.org,Mr. Stefan Thorsell
International Youth and Student Movement for the United Nations (ISMUN),Geneva,Switzerland,Constituency - Environmental,(41-76) 455-3366,(1-775) 562-5184,jan.lonn@abc.se,Mr. Oluwole David Oshota
International Youth Nuclear Congress (IYNC),Berkeley,United States of America,Constituency - Youth,,,tmkgreen@umich.edu,Ms. Theresa Mary Green
International-Lawyers.Org (INTLawyers),Geneva,Switzerland,Constituency - Research and independent,,+1-206-984-4734,office@INTLawyers.org,Mr. Curtis Doebbler
Internationaler Bund der Bau- und Holzarbeiter (IBBH),Geneva,Switzerland,Constituency - ENGO,(41-22)788-0888,(41-22)788-0716,,
Interprofession filière bois Rhône-Alpes (FIBRA),Lyon 02,France,Constituency - ENGO,(33-4)7837-0966,(33-4)7837-8362,contract@fibra.net,M. Dominique Molard
Interstate Natural Gas Association of America (INGAA),Washington,United States of America,Constituency - Business and Industry,(1-202)216-5900,(1-202)216-0870,Lisa_Beal@Lbeal.com,Ms. Lisa Beal
INTERTANKO,Oslo,Norway,Constituency - Business and Industry,(47) 2212-2640,(47) 2212-2641,oslo@intertanko.com,Mr. Tim J. Wilkins
Interuniversity Research Centre for Sustainable Development (CIRPS),Rome,Italy,Constituency - Research and independent,(39-06) 4620-4001,(39-06) 4620-4050,francesca.farioli@uniroma1.it,Ms. Francesca Farioli
Inuit Circumpolar Conference (ICC),Ottawa,Canada,Constituency - Indigenous peoples,(1-613)563-2642,(1-613)565-3089,icc@inuitcircumpolar.com,Ms. Joanna MacDonald
Inuit Tapiriit Kanatami (ITK),Ottawa,Canada,Constituency - Indigenous peoples,(1-613)238-8181,(1-613)234-1991,info@itk.ca,Mr. Scot Nickels
Investor Group on Climate Change Australia / New Zealand Inc. (IGCC),Sydney,Australia,Constituency - Business and Industry,+61 2 8027 3500,,emma.herd@igcc.org.au,Ms. Emma Herd
INZET- Association for North-South Campaigns (INZET),Amsterdam,Netherlands,Constituency - Environmental,(31-20)627-3339,(31-20)627-3839,inzet@inzet.nl,Ms. Jane Dennett-Thorpe
IPIECA Limited (IPIECA),London,United Kingdom of Great Britain and Northern Ireland,Constituency - Business and Industry,(44-20) 7633-2388,(44-20) 7633-2389,libby.dix@ipieca.org,Mr. James Arthur Herbertson
Iran Renewable Energy Association (IrREA),Tehran,Iran (Islamic Republic of),Constituency - Environmental,+982166063148,+982166040584,info@irrea.ir,Mr. Mojtaba Nateqi
Islamic Relief Worldwide,Birmingham,United Kingdom of Great Britain and Northern Ireland,Constituency - Research and independent,0121 605 5555,,irw@irworldwide.org,Mme Shahin Ashraf
"Islands First, Inc.",New York,United States of America,Constituency - Environmental,(1-646) 460-0677,,mark.jariabka@gmail.com,Mr. Mark Jariabka
Israel Union for Environmental Defense (IUED),Tel Aviv,Israel,Constituency - Environmental,(972-3) 566-9939,(972-3) 566-9940,info@adamteva.org.il,Ms. Leehee Goldenberg
Italian Biomass Association (ITABIA),Rome,Italy,Constituency - Environmental,(39-06)702-1118,(39-06)7030-4833,itabia@mclink.it,Mr. Giuseppe Caserta
Italian Climate Network (ICN),Milan,Italy,Constituency - Youth,+39 340 662 8360,,info@italiaclima.org,Mr. Jacopo Bencini
Italian Local Agenda 21 Association (CA21L),Modena,Italy,Constituency - Local government and Municipal authorities,(39-59) 20-9434,(39-59) 20-9142,coordinamento.agenda21@provincia.modena.it,Ms. Maria Elisa Zuppiroli
Ithaca College,Ithaca,United States of America,Constituency - Research and independent,(1-607,(1-607) 274-3064,webmaster@ithaca.edu,Mr. Thomas Shevory
iuventum e.V.,Velzen,Germany,Constituency - Research and independent,+49 581 948 7546,+49 581 948 7547,info@iuventum.org,Mr. Henning Stöcks
IVL Swedish Environmental Research Institute Ltd.,Stockholm,Sweden,Constituency - Research and independent,(46-8) 5985-6300,(46-8) 5985-6390,grennfelt@ivl.se,Mr. Peringe Grennfelt
IWMC World Conservation Trust (IWMC),Dunedin,United States of America,Constituency - ENGO,(1-727)734-4949,(1-727)734-4949,iwmc@iwmc.org,Mr. Jaques Berney
Janvikas,Ahmedabad,India,,+91 79 268 56685,+91 79 268 57443,paryavaranmitra@yahoo.com,Mr. Mahesh Pandya
"Japan Atomic Industrial Forum, Inc. (JAIF)",Tokyo,Japan,Constituency - Business and Industry,(81-3)6812-7100,(81-3)6812-7110,yuko@jaif.or.jp,Ms. Yuko Wada
Japan Automobile Manufacturers Association Inc. (JAMA),Tokyo,Japan,Constituency - Business and Industry,(81-3) 5405-6122,(81-3) 5405-6136,kaigai_tky@mta.jama.or.jp,Mr. Shingo Kawaguchi
Japan Center for a Sustainable Environment and Society (JACSES),Tokyo,Japan,Constituency - Environmental CAN,(81-3) 3556-7323,(81-3) 3556-7328,jacses@jacses.org,Mr. Jiro Adachi
Japan Center for Climate Change Actions (JCCCA),Tokyo,Japan,Constituency - Environmental,(81-3)5114-1281,(81-3)5114-1283,takagi@jccca.org,Mr. Hiroaki Takagi
Japan Economic Research Institute (JERI),Tokyo,Japan,Constituency - Research and independent,(81-3) 6214 4644,(81-3) 6214 4603,ijeri@jeri.org,Ms. Hiroko Hashimoto
Japan Electrical Manufacturers' Association (JEMA),Tokyo,Japan,Constituency - Business and Industry,(81-3)3581-7878,(81-3)3580-6456,kiyoshi_saito@jema-net.or.jp,Mr. Kiyoshi Saito
Japan Environmental Council (JEC),Tokyo,Japan,Constituency - Environmental,(81-75) 753-5710,(81-75) 753-5710,stera@econ.hit-u.ac.jp,Ms. Yukari Takamura
Japan Federation of Bar Associations,Tokyo,Japan,Constituency - Research and independent,(81-3)3580-9841,(81-3)3580-2866,international@nichibenren.or.jp,Mr. Yutaro Kikuchi
Japan Fluorocarbon Manufacturers Association (JFMA),Tokyo,Japan,Constituency - Business and Industry,(81-3) 5684-3372,(81-3) 5684-3373,jfmajp@ca.mbn.or.jp,Mr. Kenroh Kitamura
Japan Industrial Conference for Ozone Layer Protection (JICOP),Tokyo,Japan,Constituency - Business and Industry,(81-3) 568-97981,(81-3) 5689-7983,okajicop@jasmine.ocn.ne.jp,Mr. Akira Okawa
Japan International Forestry Promotion and Cooperation Center (JIFPRO),"Bunkyo-ku, Tokyo",Japan,Constituency - ENGO,(81-3)5689-3450,(81-3)5689-3360,jifpro@jifpro.or.jp,Mr. Kenzo Naka
Japan Iron and Steel Federation (JISF),Tokyo,Japan,Constituency - Business and Industry,(81 3) 3669 4811,(81 3) 3664 1457,kankyou1@jisf.or.jp,Mr. Masanobu Nakamizu
Japan Refrigeration and Air Conditioning Industry Association (JRAIA),Tokyo,Japan,Constituency - Business and Industry,(81-3) 3432-1671,(81-3) 3438-0308,haruo.ohnishi@daikin.co.jp,Mr. Haruo Onishi
Japan Water Forum (JWF),"Chuo-ku, Tokyo",Japan,Constituency - ENGO,+81-3-5645-8040,+81-3-5645-8041,office@waterforum.jp,Mr. Shigenori Asai
Japanese Trade Union Confederation (JTUC-RENGO),Tokyo,Japan,Constituency - Trade Unions,(81-3)5295-0550,(81-3)5295-0535,jtuc-shakai@sv.rengo-net.or.jp,Mr. Mitsuru Maruta
Jeunes Volontaires pour l'Environnement (JVE),Lomé,Togo,Constituency - Environmental,(228) 220-0112,(228) 222-0648,yvetogo@hotmail.com,Mr. Sena Alouka
Jeunesse Étudiante Catholique Internationale (IYCS-JECI),Paris,France,Constituency - Youth,+33145481472,,mail@iycs-jeci.org,Mr. Innocent Odongo
Joanneum Research (JR),Graz,Austria,Constituency - Research and independent,(43-316) 8760,(43-316) 876-1181,andreast99@hotmail.com,Mr. Andreas Tuerk
"John Heinz III Center for Science, Economics and the Environment",Washington,United States of America,Constituency - Environmental,(1-202) 737-6307,(1-202) 737-6410,childress@heinzcenter.org,Ms. Amber Childress
Johns Hopkins University (SAIS),Washington,United States of America,Constituency - Research and independent,(1-860) 663-5880,,transatlantic@jhu.edu,Mr. Irving Mintzer
Joint Center for Political and Economic Studies (JCPES) Danielle Deane,Washington,United States of America,Constituency - Research and independent,(1-202) 789-3500,(1-202) 789-3690,gwood@jointcenter.org,
Joint Implementation Network (JIN),Groningen,Netherlands,Constituency - Research and independent,(31-50) 524-8430,(31-50) 201-1326,jin@jin.ngo,Mr. Catrinus Jetsus Jepma
Joint Institute for Energy and Environment (JIEE),Knoxville,United States of America,Constituency - ENGO,(1-423)974-3939,(1-423)974-4609,jiee@utk.edu,
Jossour Forum des Femmes Marocaines (jossourffm),Rabat Agdal,Morocco,Constituency - Women and Gender,+212661406242,+212661406242,rbenachir@gmail.com,Mme Benachir Rhizlane
Joyce Foundation,Chicago,United States of America,Constituency - Environmental,(1-312) 782-2464,(1-312) 782-4160,emiller@joycefdn.org,Mr. Edmund Jackson Miller
"Jubilee South Asia Pacific Movement, Inc. (APMDD)",Quezon City,Philippines,Constituency - Environmental CJN,(63-2) 283 4234,,apmdd.js@gmail.com,Ms. Lydinyda Bunyi Nacpil
JWALA Trust (JWALA),"Gurgoan, Haryana",India,Constituency - Environmental,(91-98) 1074-4555,(91-12) 4438-2494,chairperson@jwalaindia.org,Ms. Pamposh Bhat
"Kadikoyu Friends of Science, Culture and Art Association (KADOS)",Istanbul,Turkey,Constituency - Environmental,+905554836830,+902165891616,kadikoyudostlari@yahoo.com,Mr. Tanay Sıdkı Uyar
Kadoorie Farm and Botanic Garden Corporation (KFBG),Hongkong,China,Constituency - Environmental,(852)2488-1317,(852)2488-3035,manah@kfbg.org,Mr. Manab Chakraborty
Kansai Economic Federation (Kankeiren),Osaka,Japan,Constituency - Environmental,+81 6 6441 0104,+81 6 6441 0443,kef-info@kankeiren.or.jp,Mr. Hiroshi Nakajima
Karlsruhe Institute of Technology (KIT),Karlsruhe,Germany,Constituency - Research and independent,+49 721 608-0,,info@kit.edu,Ms. Kirsten Hennrich
Karnali Integrated Rural Development and Research Centre (KIRDARC),Sanepa,Nepal,Constituency - Environmental,"01-5548040, 5548321",,kidrac@kirdar.org,Mr. Gobinda Bahadur Shahi
Keidanren,Tokyo,Japan,Constituency - Business and Industry,(81-3) 6741-0143,(81-3) 6741-0343,team-stopondanka@keidanren.or.jp,Mr. Kiyoshi Tanigawa
Keio University,Tokyo,Japan,Constituency - Research and independent,(81-466) 49-3436,(81-466) 49-3549,ei-core@sfc.keio.ac.jp,Mr. Wanglin Yan
Kejibaus Youth Development Initiative (KYDI),Akure,Nigeria,Constituency - Youth,+234 8035685329,,president@kejibaus.org,Mr. Aderemi Austino Adetoro
Keren Kayemet LeIsrael/The Jewish National Fund (KKL-JNF),Jerusalem,Israel,Constituency - Environmental,(972-2) 9905760,(972-2) 9915517,DavidB@kkl.org.il,Ms. Karine Michelle Bolton
KfW,Frankfurt am Main,Germany,Constituency - Business and Industry,(49-69) 7-4310,(49-69) 7431-2944,info@kfw.de,Mr. Peter Hilliges
Khazer Ecological and Cultural NGO,Yerevan,Armenia,Constituency - Environmental CAN,37410534652,37410583933,khazerngo@gmail.com,Ms. Amalia Hambartsumyan
Kiko Network,Kyoto,Japan,Constituency - Environmental CAN,(81-75) 254-1011,(81-75) 254-1012,kyoto@kikonet.org,Mr. Kenro Taura
KinderEnergy INC. (KINDERENERGY),Los Angeles,United States of America,Constituency - Environmental,18052593663,,elisabethanne@kinderenergy.org,Ms. Elisabeth Anne Delgado
King Abdullah Petroleum Studies and Research Center (KAPSARC),Riyadh,Saudi Arabia,Constituency - Research and independent,+966112903335,+966112251781,Mohamad.Hejazi@Kapsarc.org,Mr. Mohamad Issa Hejazi
"King's College, School of Law",London,United Kingdom of Great Britain and Northern Ireland,Constituency - Research and independent,(44-207)836-5454,,enq.genlaw@kcl.ac.uk,Ms. Megan Bowman
KlimAktiv,Tübingen,Germany,Constituency - Environmental,(49-7071) 857-9713,(49-7071) 96-9092,s.schunkert@avantTime.de,Mr. Stephan Schunkert
Konrad-Adenauer-Foundation (KAS),Berlin,Germany,Constituency - Research and independent,(49-30) 26-9960,,zentrale-berlin@kas.de,Mr. Jasper Eitze
Kontaktstelle für Umwelt und Entwicklung e.V. Berlin (KATE),Berlin,Germany,Constituency - ENGO,(49-30)4405-3110,(49-30)4405-3109,kate@kateberlin.de,Mr. Carlos Echegoyen Ramirez
Korea Chamber of Commerce and Industry (KCCI),Seoul,Republic of Korea,Constituency - Business and Industry,(82-2) 6050-3453,(82-2) 6050-3700,hyunsoo@korcham.net,Mr. Hyun Kim
Korea Green Foundation (KGF),Seoul,Republic of Korea,Constituency - ENGO,(82-2) 2011-4300,(82-2) 725-4840,jootime@greenfund.org,Mr. Jooyoung Kim
Korea Institute of Civil Engineering and Building Technology (KICT),Goyang,Republic of Korea,Constituency - Research and independent,+82-31-910-0114,+82-31-910-0757,youngsunkim@kict.re.kr,Ms. Youngsun Kim
Korea Institute of Science and Technology Europe (KIST Europe),Saarbrücken,Germany,Constituency - ENGO,(49-681) 9-3820,(49-681) 938-2109,jhseo@kist-europe.de,Mr. Jeongho Seo
Korea University (KUCE),Seoul,Republic of Korea,Constituency - Research and independent,(82-2) 3290-3015,(82-2) 928-0842,yscho@korea.ac.kr,Mr. Yowhan Son
Korean Business Council for Sustainable Development (KBCSD),Seoul,Republic of Korea,Constituency - Business and Industry,(82-2) 3465-0690,(82-2) 3465-0707,chaiun@yahoo.com,Ms. Chai-un Hahn
Korean Federation for Environmental Movement (KFEM),Seoul,Republic of Korea,Constituency - Environmental CJN,(82-2) 735-7000,+82 27357020,web@kfem.or.kr,Mr. Jieon Lee
Korean Standards Association (KSA),Seoul,Republic of Korea,Constituency - Business and Industry,(82-2) 6009-4513,(82-2) 6009-4006,ksaicd@ksa.or.kr,Mr. Dohdam Kim
KR Foundation,Copenhagen,Denmark,Constituency - ENGO,,,info@climnet.org,Mr. Alexander Ege
"Krasnoyarsk Regional Public Ecological Movement ""Friends of the Siberian Forests"" (FSF)",Krasnoyarsk,Russian Federation,Constituency - Environmental,,,laletin3@gmail.com,Mr. Andrey Laletin
Kuwait Environment Protection Society (KEPS),Kuwait City,Kuwait,Constituency - Environmental,00965 24848256,96524837856,aquasoul2000@hotmail.com,Mr. Wijdan Aloqab
Kyoto Club,Roma,Italy,Constituency - Business and Industry,(39-06) 48-5539,(39-06) 4898-7009,informazioni@kyotoclub.org,Mr. Sergio Andreis
"Kyoto University, Institute of Economic Research (KIER)",Kyoto,Japan,Constituency - Research and independent,(81-75) 753-7119,(81-75) 753-7118,kuier@kier.kyoto-u.ac.jp,Mr. Haruo Imai
La Brique (ALB),Kara,Togo,Constituency - Indigenous peoples,(00228) 24457052,,labrique.association@gmail.com,Mr. Alouatchou Aoutene Akissita
Labor/Community Strategy Center (LCSC),Los Angeles,United States of America,Constituency - Environmental,(1-213) 387-2800,(1-213) 387-3500,info@thestrategycenter.org,Mr. Eric Mann
"Labour, Health and Human Rights Development Center (LHAHRDEV)",Agege Lagos,Nigeria,Constituency - Environmental,+234 8023 276709,,lhahrdev@yahoo.com,Mr. Ayodele Sam Akele
Lancaster University,Lancaster,United Kingdom of Great Britain and Northern Ireland,Constituency - Research and independent,(44-1524)6-5201,,b.simons1@lancaster.ac.uk,Mr. Barry Simons
